نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
أرض,تجاري وسكني, الرياض , حي الرمال ,ثلاث شوارع,8100,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20655000
أرض,سكني, الرياض , حي عرقة ,غربية,653,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134400
أرض,سكني, الرياض , حي الرمال ,شمالية,402,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085400
فيلا,سكني, الرياض , حي النهضة ,غربية,375,0,7,4,5,20,1,1,1,1,1,1,0,0,1,1,2200000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية شرقية,928,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619904
أرض,تجاري, حريملاء, الرياض ,جنوبية,780,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897000
أرض,سكني, الرياض , حي اشبيلية ,جنوبية شرقية,4733,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21298500
أرض,سكني, الرياض , حي بدر ,غربية,900,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170000
أرض,سكني, حي الرمال , ,شرقية,360,19780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7120800
أرض,سكني, الرياض , حي ضاحية نمار ,شرقية,1062,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062000
أرض,سكني, الرياض , حي الازدهار ,جنوبية,1493,13395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19998735
أرض,سكني, امارة منطقة الرياض, الرياض ,غربية,400,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360000
أرض,سكني, الرياض , حي الرمال ,شرقية,1560,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9594000
أرض,تجاري وسكني, الرياض , حي الرمال ,جنوبية شرقية,400,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
أرض,سكني, الرياض , حي الخليج ,شمالية غربية,600,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560000
فيلا,سكني, الرياض , حي اشبيلية ,شمالية,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شمالية غربية,276,0,6,1,4,0,1,1,1,0,1,1,0,0,1,0,1160000
فيلا,سكني, الرياض , حي اشبيلية ,شرقية,388,0,5,1,5,0,1,1,1,1,0,1,0,0,1,0,2200000
فيلا,سكني, الرياض , حي اشبيلية ,جنوبية,312,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,2000000
أرض,تجاري, الرياض , حي المونسية ,شرقية,2115,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8883000
أرض,سكني, الرياض , حي الضباط ,جنوبية شرقية,3500,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500000
فيلا,سكني, الرياض , حي اليرموك ,شمالية,250,0,4,2,4,0,1,1,1,0,1,1,0,0,1,1,1900000
فيلا,سكني, الرياض , حي القدس ,شمالية,900,0,6,2,5,0,1,1,1,1,1,1,1,0,1,0,4800000
أرض,سكني, الرياض , حي عريض ,شمالية غربية,900,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305000
أرض,سكني, الرياض , حي عريض ,شمالية غربية,432,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592000
أرض,سكني, الرياض , حي عكاظ ,جنوبية,756,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284256
أرض,سكني, حريملاء, الرياض ,جنوبية,375,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762500
أرض,تجاري وسكني, حريملاء, الرياض ,شمالية,840,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512000
فيلا,سكني, الرياض , حي ظهرة البديعة ,شرقية,312,0,5,2,5,0,1,1,1,0,1,1,0,0,1,0,1900000
أرض,سكني, الرياض , حي ظهرة لبن ,شمالية,300,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000
أرض,سكني, الرياض , حي النرجس ,شمالية شرقية,1050,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7875000
أرض,سكني, الرياض , حي الملقا ,غربية,900,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000
فيلا,سكني, الرياض, الرياض ,غربية,375,0,7,3,4,15,1,1,0,0,1,1,0,0,1,0,1500000
فيلا,سكني, الرياض , حي المروج ,جنوبية,350,0,5,3,5,20,1,1,1,1,1,1,0,0,1,1,4000000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية شرقية,420,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079400
فيلا,سكني, الرياض , حي القدس ,شمالية,270,0,6,3,5,0,1,0,1,0,0,1,0,0,1,0,2800000
أرض,تجاري وسكني, الرياض , حي المشرق ,جنوبية,825,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825000
أرض,سكني, حريملاء, الرياض ,شرقية,359,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646200
أرض,سكني, الرياض , حي الوادي ,جنوبية غربية,270,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620000
فيلا,سكني, الرياض, الرياض ,جنوبية,450,0,7,1,5,20,0,1,0,0,0,0,0,0,0,0,1000000
أرض,سكني, الرياض , حي النرجس ,شرقية,450,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2610000
فيلا,سكني, الرياض , حي الجنادرية ,غربية,360,0,7,4,5,20,1,1,0,0,1,1,0,0,1,1,1600000
أرض,تجاري وسكني, الرياض , حي الدفاع ,جنوبية شرقية,1225,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450000
فيلا,سكني, الرياض , حي المونسية ,جنوبية,250,0,7,3,5,0,1,1,1,1,1,1,0,0,1,0,1400000
فيلا,سكني, الرياض , حي العقيق ,شرقية,400,0,4,2,4,0,1,1,1,1,1,1,0,1,1,0,3800000
أرض,سكني, حريملاء, الرياض ,جنوبية,459,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230120
أرض,تجاري وسكني, الرياض , حي العلا ,ثلاث شوارع,24000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000000
أرض,سكني, الرياض , حي الرمال ,جنوبية,500,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100000
أرض,سكني, الرياض , حي العارض ,شمالية,300,3666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099800
فيلا,سكني, الرياض , حي الدار البيضاء ,شمالية,246,0,5,2,5,20,1,1,1,0,1,1,0,0,1,0,825000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,407,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407000
أرض,تجاري وسكني, الرياض , حي الروضة ,شرقية,600,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000
فيلا,سكني, الرياض , حي الخليج ,غربية,324,0,5,2,4,0,1,1,1,1,1,1,0,0,1,0,2200000
فيلا,سكني, الرياض , حي قرطبة ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16700000
